原始来源,原始大小,原始SHA256,目标路径,处理
C:\zyh\work\漏洞整理\优必选人型\api-sysupload任意路径写跨板SFTP-RCE-1\scripts\ssh_pass_probe.py,2471,7bfb4842eed79bec5685f214be31ac597cec04032bf069746a94f9a7e8d8cb54,工具\复现工具\其他机器人\UBH-010\ssh_pass_probe.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\api-sysupload任意路径写跨板SFTP-RCE-1\scripts\sysupload_rce.py,13542,76000d82892ac9465edacf1faf7a5002bf77d99caefc7ea064195ed2408b2385,工具\复现工具\其他机器人\UBH-010\sysupload_rce.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\cc_api-jsonrpc零认证远程控制\scripts\exploit_cc_api.py,4300,4d9bd3916e42c488ac9cd804a70eec0906ba86d0798a8bff91db392eec0ab836,工具\复现工具\其他机器人\UBH-011\exploit_cc_api.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\emb-request_shutdown一字节双板关机\scripts\exploit_shutdown.py,2855,a2b135964f723a710162952f61e7ef759b60d24c9edd7cfc98c3647a7e76ad3b,工具\复现工具\其他机器人\UBH-012\exploit_shutdown.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\emb-upgrade无签名MCU固件刷写\scripts\exploit_mcu_upgrade.py,3544,2cc90fa0263a7f9a9035f6bf1f1aef1d87a0ca1cb8f60f8b7ac938688dc7cc12,工具\复现工具\其他机器人\UBH-013\exploit_mcu_upgrade.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\executecmd-蓝牙技能system执行\scripts\exploit_executecmd.py,3913,0174c50ad1105dd6d212dd2d279d47e7d11549d5f9204680e86fe4ca97ea4b40,工具\复现工具\其他机器人\UBH-014\exploit_executecmd.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\jetson-启动链测试签名固件可重签\scripts\exploit_boot_sig.py,5854,344be58128b76d0e75d23441f8be5dda5e776221fa5092adefeace6382b44bbc,工具\复现工具\其他机器人\UBH-015\exploit_boot_sig.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\jetson-调试UART无认证root-shell\scripts\exploit_uart_bash.py,5057,263b76a18db66bfd08b6570ab66142714e5b5fec93f9245818c7d9fb6ffec2dc,工具\复现工具\其他机器人\UBH-016\exploit_uart_bash.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\list-files任意递归列目录全盘文件泄露-1到ssh\scripts\list_files_poc.py,2863,7d7dd772a55e005971b1b5df8a0b08441afff18ce00deea34dcc1b310888e5c3,工具\复现工具\其他机器人\UBH-017\list_files_poc.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\lora-ecc_control零认证RF命令帧\scripts\exploit_lora_rf.py,5422,845dc7cde1ffcc787026d36f9fac8d5d098d5be06b1b9ece9216faec31168da4,工具\复现工具\其他机器人\UBH-018\exploit_lora_rf.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\map_http_node-Zip-Slip任意文件写\scripts\exploit_zip_slip.py,4830,292c73a82c10cb88243d80fc9580b1701c2f6f3ba9ac59755cf5578d3f8ad122,工具\复现工具\其他机器人\UBH-019\exploit_zip_slip.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\motion-运动控制服务无认证与重放检查关闭\scripts\exploit_motion_svc.py,4301,3609355258b46ce9990e989c4e3bd8e289879239a48d7aec6be12a68b1a6f0db,工具\复现工具\其他机器人\UBH-020\exploit_motion_svc.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\mqtt-云端fileDownloadLink命令执行\scripts\exploit_mqtt.py,3752,27c62f5c24617218c14f78a2bbb15b3ff428979fe909ca9189be0bc9c0ba2dd4,工具\复现工具\其他机器人\UBH-021\exploit_mqtt.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\rosbridge-9090无认证订阅发布与服务调用-1\scripts\rosbridge_probe.py,3826,52c12b3e1a0bb975391e32e5089a2e10254c760d20ccd3de48b70ce7eebeb338,工具\复现工具\其他机器人\UBH-022\rosbridge_probe.py,文本脱敏后导入
