原始来源,原始大小,原始SHA256,未提交原因
C:\zyh\work\漏洞整理\伽利略\sudo免密提权root-1\evidence\sudo_id_check.json,150,741e157ada7457016ec7361cbd78b063d0331d8d2fddd221a51e98fd994b5ff6,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\vis模型WebSocket13140未授权关节控制-1\evidence\AUD-vislcm-ws-motion-control.md,9644,d51dbceec66653d3ce7bf7564984fb5b9ece1c357d634a235a74f54e7df3b5a5,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\vis模型WebSocket13140未授权关节控制-1\evidence\非破坏性复现证据_20260829.md,4364,0189f5e6cdf313d6f728d8f2c2c657a21f768831c721a68e4edae00392996cd6,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\任意文件读取-1\evidence\passwd_read.json,1304,b1e65a5343941d6329450c437f98c4228b04380dc4252dfa69fa5301a823adf4,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\固件信息泄露-开发基础设施与人员身份-1\evidence\.bash_history,6990,63ce43c64f3f4d88058bf902e28e795daa8945be2669124d77a7a20540b0ae86,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\固件信息泄露-开发基础设施与人员身份-1\evidence\authorized_keys_residual_backdoor.txt,553,068d3c89cf2584b67a55618a45f98c3cc5d8991b8f0db4a2daf190a8961305d5,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\固件信息泄露-开发基础设施与人员身份-1\evidence\Readme-galileo-inter_1.0.44_prerelease_grq05w-v1d0-default_arm64.txt,2187,ffb4b01f9f858ce3a8a6d680a1fb7011c17727530d51507dfb52d89cc119c9ca,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\固件信息泄露-开发基础设施与人员身份-1\evidence\viminfo_keys.txt,10414,7f4374a07ed0e04427c3a577a1c442b1a0f6ac07fc5c019d23f4f1d3c11b5ae6,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\官网Swagger接口文档未授权暴露-1\evidence\endpoint_list_20260829.txt,4520,1cf30fc0bc59af1cc0891b981d37b98943c78657755735118afc223abc8a88fe,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\官网Swagger接口文档未授权暴露-1\evidence\swagger-ui_index.html,3129,8c9c886b4d7acfad1c9ba3fce2c1262a1db73de3110aaa53a4653585f811d2a6,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\官网Swagger接口文档未授权暴露-1\evidence\v3_api-docs_20260829.json,47177,f786870237af6ed163de11acc120f3ca3f8bc556cdca672968ad1fa216a07016,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\日志接口路径穿越任意文件下载-1\evidence\etc_dir_listing.json,6748,6b2583a71a05becfaf70dc7f541f2aec53b5f35863fa1c5e71b7fb3f072f237d,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\日志接口路径穿越任意文件下载-1\evidence\etc_passwd_downloaded.txt,1709,681df61bb20393c10cf1cb58d6f24368576f8392c3040f8dc451afa9a07e82ce,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\日志接口路径穿越任意文件下载-1\evidence\operation_log_shadow_download.txt,1697,87d9f335c9684195e28035d6252093b7d9d5396e22d9729040a8e15dcf8694a2,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\EtherCAT-FoE无签名固件刷写\evidence\foe_flash_probe.txt,172,9f1ced42311be075356431ce2fc26d35a9dcd8dd653b3c8bf6c0b19fadd10195,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\EtherCAT-任意SDO读写-无认证\evidence\sdo_standby_probe.txt,449,86ae9aa9c82bedfd1a09a35af5ee618ecb66071c74ce90db58d3738ffc142aba,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\EtherCAT-原始关节指令无钳位\evidence\servo_cmd_standby_probe.txt,340,67cfbafa0f68904a4b57a4e7d5cf4d7d21881165cf2cf91845864faf855bea28,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\FastAPI-5000无认证信息泄露与docs暴露-1\evidence\fastapi_live.txt,1312,265e299904ac3947858d48c8f605c8f9dc9f270c251a29a2c8338929bdc19a57,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\agora-遥操作AppID硬编码云端注入\evidence\agora_creds.txt,173,04a48a7bb3b6213ae7a5dc35fca630fbf87d698668550a5453a61b8e3cfb7635,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\api-export路径穿越任意文件读到双板root-1\evidence\export_hostname_proof.md,1216,20d009fc4a7064d2f88db24b39b18f8c3835e064bb800205a1561dbb89b1816f,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\api-expression管理-无认证上传篡改-lead-1\evidence\expressions_live.json,760,5ab2903768739e850b16aba12192796e6650a3ac7f12c6d79bd673a47b25ae84,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\api-sysupload任意路径写-宿主root-RCE\evidence\backup_authorized_keys.host_root,111,f43659e899de15751bcc784c9cad501de655b2e70c694f5697d02897e0d718ca,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\api-sysupload任意路径写-宿主root-RCE\evidence\host_root_rce_2026-08-29.txt,2612,52ca118a60c0e4db1c1b8fbd64f9232106db11008f42f6fe39790c6504553fb1,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
